Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
01/06/2022 12:00:00 AM,50 - 64 Years,117.9486508,0.911,0.788
01/06/2022 12:00:00 AM,65 - 74 Years,64.4546336,0.95,0.902
01/06/2022 12:00:00 AM,75+ Years,64.96405166,0.95,0.847
01/05/2022 12:00:00 AM,5 - 11 Years,112.7782174,0.258,0.167
01/05/2022 12:00:00 AM,12 - 17 Years,140.0471487,0.641,0.54
01/05/2022 12:00:00 AM,18 - 24 Years,194.1215795,0.731,0.595
01/05/2022 12:00:00 AM,25 - 39 Years,186.3112429,0.763,0.636
01/05/2022 12:00:00 AM,40 - 49 Years,160.3575067,0.839,0.718
01/05/2022 12:00:00 AM,50 - 64 Years,117.3947094,0.91,0.788
01/05/2022 12:00:00 AM,65 - 74 Years,64.43385081,0.95,0.902
01/05/2022 12:00:00 AM,75+ Years,64.75933449,0.95,0.847
01/04/2022 12:00:00 AM,5 - 11 Years,105.4184327,0.255,0.164
01/04/2022 12:00:00 AM,12 - 17 Years,131.5190189,0.64,0.539
01/04/2022 12:00:00 AM,18 - 24 Years,191.5550944,0.729,0.594
01/04/2022 12:00:00 AM,25 - 39 Years,186.8898243,0.762,0.636
01/04/2022 12:00:00 AM,40 - 49 Years,160.333059,0.838,0.718
01/04/2022 12:00:00 AM,50 - 64 Years,117.7829224,0.909,0.787
01/04/2022 12:00:00 AM,65 - 74 Years,65.03231026,0.95,0.901
01/04/2022 12:00:00 AM,75+ Years,64.86800285,0.95,0.847
01/03/2022 12:00:00 AM,5 - 11 Years,95.37186202,0.252,0.162
01/03/2022 12:00:00 AM,12 - 17 Years,119.2818894,0.639,0.539
01/03/2022 12:00:00 AM,18 - 24 Years,182.6648164,0.727,0.593
01/03/2022 12:00:00 AM,25 - 39 Years,181.4383671,0.761,0.635
01/03/2022 12:00:00 AM,40 - 49 Years,154.7136407,0.837,0.717
01/03/2022 12:00:00 AM,50 - 64 Years,113.4303961,0.908,0.787
01/03/2022 12:00:00 AM,65 - 74 Years,62.68088633,0.95,0.901
01/03/2022 12:00:00 AM,75+ Years,62.01388083,0.95,0.846
01/02/2022 12:00:00 AM,5 - 11 Years,75.89693252,0.249,0.16
01/02/2022 12:00:00 AM,12 - 17 Years,95.63680177,0.638,0.538
01/02/2022 12:00:00 AM,18 - 24 Years,156.7271962,0.726,0.593
01/02/2022 12:00:00 AM,25 - 39 Years,156.0996244,0.76,0.635
01/02/2022 12:00:00 AM,40 - 49 Years,130.7347395,0.836,0.717
01/02/2022 12:00:00 AM,50 - 64 Years,95.23274047,0.907,0.786
01/02/2022 12:00:00 AM,65 - 74 Years,54.65448907,0.95,0.901
01/02/2022 12:00:00 AM,75+ Years,52.98459136,0.95,0.846
01/01/2022 12:00:00 AM,5 - 11 Years,71.36153737,0.249,0.158
01/01/2022 12:00:00 AM,12 - 17 Years,90.62865273,0.637,0.538
01/01/2022 12:00:00 AM,18 - 24 Years,151.6339358,0.725,0.592
01/01/2022 12:00:00 AM,25 - 39 Years,151.202685,0.759,0.634
01/01/2022 12:00:00 AM,40 - 49 Years,125.2386224,0.835,0.717
01/01/2022 12:00:00 AM,50 - 64 Years,91.06478559,0.907,0.786
01/01/2022 12:00:00 AM,65 - 74 Years,52.2971272,0.95,0.901
