week,alpha_pct,gamma_pct,delta_pct,omicron_pct,other_pct,total_pct
2020-04-27,0,0,0,0,1,0.1774
2020-05-11,0,0,0,0,1,0.1774
2020-05-25,0,0,0,0,1,0.1774
2020-06-08,0,0,0,0,1,0.1774
2020-06-22,0,0,0,0,1,0.1774
2020-07-06,0,0,0,0,1,0.1774
2020-07-20,0,0,0,0,1,0.1774
2020-08-03,0,0,0,0,1,0.1774
2020-08-17,0,0,0,0,1,0.1774
2020-08-31,0,0,0,0,1,0.1774
2020-09-14,0,0,0,0,1,0.1774
2020-09-28,0,0,0,0,1,0.1774
2020-10-12,4.5075501464953804e-4,0,0,0,0.9995492449853505,0.17748
2020-10-26,0.007713536916365495,0,4.962024550992042e-6,0,0.9922815010590835,0.17876200855947597
2020-11-09,0.0012862693069971207,0,0.0021569534226524734,0,0.9965567772703504,0.17755539798967673
2020-11-23,0.004188840771351403,0,0,0,0.9958111592286486,0.1781462261754662
2020-12-07,0.01386516692867795,0,0,0,0.986134833071322,0.1797405489105849
2020-12-21,0.08629835795845019,9.281672499255555e-5,1.7785648372761428e-4,0,0.9134309688328296,0.19209315310113684
2021-01-11,0.15866508024595247,0.0017443935510881958,5.092408183081288e-4,0,0.8390812853846512,0.2079373723775646
2021-01-25,0.2790487184174173,6.920988322179876e-4,0,0,0.7202591827503647,0.23613472684874512
2021-02-08,0.3637164818545963,0.002561278409136687,1.6871407492063863e-4,0,0.6335535256613465,0.26068157643575474
2021-02-22,0.5781448184834945,0.01058933501113919,2.5334721299136924e-4,0,0.4110124992923748,0.37528141963684303
2021-03-08,0.7169863698078524,0.019242167298285536,2.601791375462251e-4,0,0.263511283756316,0.5132234051742499
2021-03-22,0.7912586712376686,0.04474683559062745,0.0010591993068755387,0,0.16293529386482847,0.6627898858704007
2021-04-05,0.8254108346363963,0.06951394202280486,0.005373210016178816,0,0.0997020133246201,0.7591255472597129
2021-04-19,0.8271865946996353,0.08494162600079627,0.01768605116670742,0,0.07018572813286086,0.8221920225353975
2021-05-03,0.8091062344778572,0.10407649315220671,0.029075161577604564,0,0.05774211079233161,0.8487656239137724
2021-05-17,0.7547258828348652,0.12647102975774194,0.06847568044665117,0,0.0503274069607417,0.8579423212625719
2021-05-31,0.6057970919020619,0.134372342848138,0.22276727081758535,0,0.03706329443221475,0.8630886168816393
2021-06-14,0.37416167351902724,0.09479255175311807,0.5061365966009963,0,0.024909178126858403,0.8911958577301975
2021-06-28,0.1220829121437786,0.042727583088228445,0.8223547649307239,0,0.012834739837269085,0.9430101575822426
2021-07-12,0.029472724944151693,0.015103746654866954,0.9499200038180858,0,0.005503524582895422,0.9753487468265699
2021-07-26,0.00748696385730789,0.005478075509467118,0.9844920056691242,0,0.0025429549641007463,0.98989167970723
2021-08-09,0.002198524653503788,0.0017860007727623038,0.9941522130644168,0,0.001863261509317158,0.9948613160741487
2021-08-23,6.173364145587327e-4,7.818293215842647e-4,0.996407936743375,0,0.002192897520482104,0.9952275497722729
2021-09-06,3.9992653512756725e-4,3.573970004683867e-4,0.99610463961326,0,0.0031380368511440162,0.9960601487923779
2021-09-20,4.46466011484183e-5,1.7675060401827554e-4,0.9991939668342358,0,5.84635960597581e-4,0.9960640806663421
2021-10-04,1.0246913815628197e-4,1.3594024845613382e-4,0.9987424673065054,0,0.0010191233068821749,0.9957415076830725
2021-10-18,6.831884743847803e-5,1.0205240487214687e-4,0.9991727798437743,0,6.568489039151554e-4,0.9948856148231501
2021-11-01,8.129120675905991e-5,1.02949190610348e-5,0.9989814768298421,0,9.269370443377708e-4,0.9915095407933991
2021-11-15,1.6581393380042062e-6,0,0.9988911201269243,3.554866639452382e-5,0.0010716730673432065,0.9913736311309842
2021-11-29,2.3088394592122167e-5,0,0.9969976110062185,0.0027382585109272184,2.4104208826208583e-4,0.9312489133584076
2021-12-13,1.977742877772442e-5,0,0.8060784252241707,0.1929052527932194,9.965445538320276e-4,0.545449961946851
2021-12-27,0,0,0.35822974594735985,0.6413852946929979,3.8495935964231814e-4,0.21910529715061597
