indicatorDataSource,indicatorId,indicatorName,regionId,regionLevel,regionName,date,value
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-03,88.9674138
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-04,88.8554524
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-05,88.7846648
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-06,88.6566987
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-07,88.5103222
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-08,88.3839907
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-09,88.2317877
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-10,88.185487
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-11,88.2158253
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-12,88.1174916
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-13,88.08773
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-14,88.0570497
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-15,87.9948132
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-16,87.8354014
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-17,87.815967
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-18,87.7509872
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-19,87.6454626
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-20,87.5690555
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-21,87.5309122
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-22,87.5430187
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-23,87.545725
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-24,87.4617781
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-25,87.2572212
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-26,87.1032776
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-27,86.9041184
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-28,86.5971118
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-29,86.0794483
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-04-30,85.7598476
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-01,85.504
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-02,85.2477223
