"start_date","end_date","loc","exposure_mean","stdev"
2020-05-01,2020-05-23,"GA",0.00715618708042432,0.000487817386714255
2020-05-02,2020-05-24,"GA",0.00725104863016195,0.000527614138207103
2020-05-03,2020-05-25,"GA",0.007362520679453,0.000524774170483316
2020-05-04,2020-05-26,"GA",0.00755780756780623,0.000533998422046439
2020-05-05,2020-05-27,"GA",0.00774262578593693,0.000549208493506712
2020-05-06,2020-05-28,"GA",0.00797390468478085,0.000561744857825553
2020-05-07,2020-05-29,"GA",0.00819103987850912,0.000564449033842404
2020-05-08,2020-05-30,"GA",0.00840889700824766,0.000577120950453112
2020-05-09,2020-05-31,"GA",0.00861325463815468,0.000590497313978397
2020-05-10,2020-06-01,"GA",0.0088694750034919,0.000612030821511992
2020-05-11,2020-06-02,"GA",0.00899284869784317,0.000621884272412803
2020-05-12,2020-06-03,"GA",0.00909735238955819,0.000642343580573046
2020-05-13,2020-06-04,"GA",0.00915535409110102,0.000637115522902352
2020-05-14,2020-06-05,"GA",0.00919085926029319,0.000674991520711728
2020-05-15,2020-06-06,"GA",0.00913997538762467,0.000675888135695028
2020-05-16,2020-06-07,"GA",0.00904892090105104,0.000691409616288948
2020-05-17,2020-06-08,"GA",0.00890698402051044,0.000688817181166617
2020-05-18,2020-06-09,"GA",0.0087786127669586,0.000646937435804006
2020-05-19,2020-06-10,"GA",0.00883498945083002,0.000628358134660313
2020-05-20,2020-06-11,"GA",0.00910962143073699,0.000631629218400055
2020-05-21,2020-06-12,"GA",0.00975587054410473,0.000614022966603587
2020-05-22,2020-06-13,"GA",0.0105280173446984,0.000603679414750564
2020-05-23,2020-06-14,"GA",0.0113264316774419,0.000607374549360159
2020-05-24,2020-06-15,"GA",0.0122679849244021,0.000617917953074601
2020-05-25,2020-06-16,"GA",0.0131388541174257,0.000646416714338735
2020-05-26,2020-06-17,"GA",0.0137313139921053,0.000688982128415346
2020-05-27,2020-06-18,"GA",0.0145398282144358,0.000710705346089412
2020-05-28,2020-06-19,"GA",0.0152772701341936,0.000778521609972926
2020-05-29,2020-06-20,"GA",0.0161711167295492,0.000818402977152072
2020-05-30,2020-06-21,"GA",0.0172592472203472,0.000882926801730606
2020-05-31,2020-06-22,"GA",0.0187579077616103,0.000996743115497174
2020-05-01,2020-05-20,"MO",0.00242804042670644,0.000145446053132922
2020-05-02,2020-05-21,"MO",0.00255434791251319,0.000162429039150459
2020-05-03,2020-05-22,"MO",0.00269117640158059,0.000201747150356801
2020-05-04,2020-05-23,"MO",0.00274119973382987,0.00019649764442704
2020-05-05,2020-05-24,"MO",0.00279625466889387,0.000204398431197469
2020-05-06,2020-05-25,"MO",0.00282610968307897,0.0002180188970498
2020-05-07,2020-05-26,"MO",0.00290222378168836,0.000239068237025212
2020-05-08,2020-05-27,"MO",0.00297726119149585,0.000249806322748597
2020-05-09,2020-05-28,"MO",0.0030504145384679,0.000244921714503912
2020-05-10,2020-05-29,"MO",0.00321692912731522,0.000269185131594109
2020-05-11,2020-05-30,"MO",0.00324096013835111,0.000286501668361319
2020-05-12,2020-05-31,"MO",0.00317321009712863,0.000245719004113146
2020-05-13,2020-06-01,"MO",0.00317677965427862,0.000265325013234638
2020-05-14,2020-06-02,"MO",0.00312040015785115,0.000250244664969045
2020-05-15,2020-06-03,"MO",0.00308628897968335,0.000247865471251878
2020-05-16,2020-06-04,"MO",0.00306489467575018,0.000266875325006657
2020-05-17,2020-06-05,"MO",0.00299764270961713,0.000285780277382213
2020-05-18,2020-06-06,"MO",0.00299479399188062,0.000266066087421134
2020-05-19,2020-06-07,"MO",0.00307574409019545,0.000269394463291523
2020-05-20,2020-06-08,"MO",0.00317269644548172,0.000264620379209351
2020-05-21,2020-06-09,"MO",0.00335460357335354,0.000275027960464021
2020-05-22,2020-06-10,"MO",0.0035058441581718,0.000263051397890183
2020-05-23,2020-06-11,"MO",0.00368716154389103,0.000287823739035504
2020-05-24,2020-06-12,"MO",0.00384211529650531,0.000298977118552058
2020-05-25,2020-06-13,"MO",0.00396413391733476,0.000270853777250296
2020-05-26,2020-06-14,"MO",0.00418078092321409,0.000279663369028842
2020-05-27,2020-06-15,"MO",0.00434952383962794,0.000262873219206997
2020-05-28,2020-06-16,"MO",0.00454185142375601,0.000281050981661644
2020-05-29,2020-06-17,"MO",0.00476473314228695,0.000274005030694882
2020-05-30,2020-06-18,"MO",0.00512768964458728,0.000283864118738398
2020-05-31,2020-06-19,"MO",0.00543923097753654,0.00031251545160851
