Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,Admin_Dose_1_Cumulative,Series_Complete_Cumulative,Booster_Cumulative,pop_total,total_dose_1,total_dose_2,total_dose_3,pct_1st_dose_18a,pct_2nd_dose_18a,age_pct,rel_dose1_age18,rel_dose2_age18,pct_dose_1,pct_dose_2,pct_dose_3
2020-12-31,0,0,0,5498846,38001,0,333239062,0.01650120477172631,1.1403525076540997e-4,0,0.008,0,0.09086016494337025,0.48481308550921415,0,0,0,0
2021-01-01,0,0,0,5583718,44011,0,333239062,0.01675589280106664,1.320703513443451e-4,0,0.008,0,0.09086016494337025,0.4774439712034168,0,0,0,0
2021-01-02,0,0,0,5838217,46835,0,333239062,0.017519605789791833,1.405447480223672e-4,0,0.009,0,0.09086016494337025,0.5137101889155542,0,0,0,0
2021-01-03,0,0,0,5969264,49255,0,333239062,0.0179128580070244,1.4780680183285356e-4,0,0.009,0,0.09086016494337025,0.5024323866392908,0,0,0,0
2021-01-04,0,0,0,6565131,94731,0,333239062,0.01970096470863311,2.842733964963567e-4,0,0.01,0,0.09086016494337025,0.5075893565566323,0,0,0,0
2021-01-05,0,0,0,7291438,182561,0,333239062,0.021880502112324396,5.478379362380992e-4,0,0.011,0,0.09086016494337025,0.5027306934516894,0,0,0,0
2021-01-06,0,0,0,8119512,354329,0,333239062,0.024365426883838727,0.0010632877126511657,0,0.012,0,0.09086016494337025,0.4925011187864492,0,0,0,0
2021-01-07,0,0,0,8984404,633212,0,333239062,0.02696083690212764,0.001900173395638714,0,0.014,0.001,0.09086016494337025,0.5192717144064314,0.5262677618238442,0,0,0
2021-01-08,0,0,0,9830889,994267,0,333239062,0.029501010298726624,0.0029836448165251406,0,0.015,0.001,0.09086016494337025,0.5084571629279915,0.33516053736068885,0,0,0
2021-01-09,0,0,0,10201474,1122360,0,333239062,0.030613079807552693,0.0033680325267510204,0,0.016,0.001,0.09086016494337025,0.5226524119945805,0.2969092465875477,0,0,0
2021-01-10,0,0,0,10378154,1191157,0,333239062,0.031143269752691837,0.0035744819135278927,0,0.016,0.001,0.09086016494337025,0.5137546611854092,0.2797608224608511,0,0,0
2021-01-11,0,0,0,11101218,1512287,0,333239062,0.033313075404107335,0.004538144450784704,0,0.017,0.002,0.09086016494337025,0.5103101347978214,0.44070875700181256,0,0,0
2021-01-12,0.017,0.002,0,12017333,1825960,0,333239062,0.036062197894435315,0.0054794296594196995,0,0.018,0.002,0.09086016494337025,0.49913763028785174,0.36500149181800257,0.017,0.002,0
2021-01-13,0.017,0.002,0,13044953,2095194,0,333239062,0.03914593001705184,0.006287360153474445,0,0.02,0.003,0.09086016494337025,0.5109087966817512,0.47714778965575505,0,0,0
2021-01-14,0.02,0.003,0,14198766,2230155,0,333239062,0.04260834823739841,0.006692357692448432,0,0.021,0.003,0.09086016494337025,0.4928611614558618,0.44827251289708564,0.002999999999999999,0.001,0
2021-01-15,0.025,0.004,0,15315660,2349838,0,333239062,0.045959978125253514,0.007051508265258531,0,0.023,0.003,0.09086016494337025,0.5004353991927217,0.425440896776714,0.005000000000000001,0.001,0
2021-01-16,0.027999999999999997,0.005,0,15881339,2421415,0,333239062,0.04765749520684943,0.007266300011371416,0,0.023,0.003,0.09086016494337025,0.48261034072756714,0.4128648686821549,0.0029999999999999957,0.001,0
