Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,pct_dose_1,pct_dose_2,pct_dose_3
2020-12-13,NA,NA,NA,0,0,0
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,9.659020738611394e-4,0,0,9.659020738611394e-4,0,0
2020-12-18,9.698448835121864e-4,0,0,3.942809651046996e-6,0,0
2020-12-19,9.73772386495973e-4,0,0,3.9275029837865976e-6,0,0
2020-12-20,0.0019547695836200137,0,0,9.809971971240408e-4,0,0
2020-12-21,0.001954183641083902,0,0,0,0,0
2020-12-22,0.0029256728790030074,0,0,9.714892379191053e-4,0,0
2020-12-23,0.0039015825903360598,0,0,9.759097113330524e-4,0,0
2020-12-24,0.0039001661048000827,0,0,0,0,0
2020-12-25,0.0039013254793005565,0,0,1.1593745004737435e-6,0,0
2020-12-26,0.0038983389059194483,0,0,0,0,0
2020-12-27,0.0038964530608286644,0,0,0,0,0
2020-12-28,0.004866741853520998,0,0,9.702887926923334e-4,0,0
2020-12-29,0.005842533017793325,0,0,9.757911642723277e-4,0,0
2020-12-30,0.0077962736628470084,0,0,0.001953740645053683,0,0
2020-12-31,0.007802845876102693,0,0,6.5722132556846405e-6,0,0
2021-01-01,0.007813156383677234,0,0,1.0310507574540911e-5,0,0
2021-01-02,0.008792101703507896,0,0,9.789453198306621e-4,0,0
2021-01-03,0.008789226480387137,0,0,0,0,0
2021-01-04,0.009776853879341295,0,0,9.876273989541575e-4,0,0
2021-01-05,0.01076341975434185,0,0,9.865658750005547e-4,0,0
2021-01-06,0.011767593050450846,0,0,0.0010041732961089973,0,0
2021-01-07,0.01374987727214404,9.810634348796988e-4,0,0.001982284221693194,9.810634348796988e-4,0
2021-01-08,0.014741856188354252,9.835784451067233e-4,0,9.919789162102111e-4,2.5150102270245483e-6,0
2021-01-09,0.015735533749728723,9.853592141241068e-4,0,9.936775613744713e-4,1.7807690173834642e-6,0
2021-01-10,0.015739115028990253,9.857354416800996e-4,0,3.5812792615295963e-6,3.7622755599277767e-7,0
2021-01-11,0.016739504866007233,0.0019688184187471062,0,0.0010003898370169809,9.830829770670067e-4,0
2021-01-12,0.017752815263916432,0.0019642300559063342,0,0.0010133103979091986,0,0
2021-01-13,0.01975239383929668,0.002945484227826902,0,0.0019995785753802488,9.812541719205676e-4,0
2021-01-14,0.020774272757046262,0.0029454125082901245,0,0.0010218789177495816,0,0
2021-01-15,0.02277528232828208,0.002947845428153042,0,0.002001009571235817,2.4329198629173023e-6,0
2021-01-16,0.022781390631188187,0.0029482009790284683,0,6.108302906107643e-6,3.5555087542649827e-7,0
2021-01-17,0.023763933309753463,0.0029483395089513506,0,9.825426785652763e-4,1.3852992288227242e-7,0
2021-01-18,0.02377330888134905,0.0039231932905759255,0,9.375571595585802e-6,9.748537816245749e-4,0
2021-01-19,0.024776535669877232,0.003913226443573639,0,0.0010032267885281831,0,0
2021-01-20,0.02677484958287119,0.004878297181983794,0,0.0019983139129939563,9.650707384101544e-4,0
2021-01-21,0.027773838596614184,0.004880656149189672,0,9.98989013742995e-4,2.3589672058779362e-6,0
2021-01-22,0.02879310705277794,0.004891697524149939,0,0.0010192684561637563,1.1041374960267525e-5,0
2021-01-23,0.029787727538903384,0.005870477636866865,0,9.946204861254436e-4,9.787801127169255e-4,0
2021-01-24,0.030778827909322397,0.005870298832969039,0,9.911003704190131e-4,0,0
2021-01-25,0.030784078705735348,0.006858449539118739,0,5.2507964129512585e-6,9.881507061497005e-4,0
2021-01-26,0.03177383598949684,0.006870874328495864,0,9.897572837614908e-4,1.2424789377124892e-5,0
2021-01-27,0.032762250911144736,0.00786482832937891,0,9.884149216478968e-4,9.939540008830463e-4,0
2021-01-28,0.03472732831222847,0.008858831464173713,0,0.0019650774010837313,9.940031347948023e-4,0
2021-01-29,0.03571191593749357,0.009856975817337923,0,9.845876252651056e-4,9.981443531642108e-4,0
2021-01-30,0.03570174202493515,0.009865737448297912,0,0,8.761630959988609e-6,0
2021-01-31,0.0366775131888292,0.009867296594106453,0,9.757711638940444e-4,1.559145808540524e-6,0
2021-02-01,0.0366976154156977,0.01089284961391426,0,2.0102226868504158e-5,0.0010255530198078067,0
2021-02-02,0.03770058399190882,0.011916916272196557,0,0.0010029685762111204,0.0010240666582822973,0
2021-02-03,0.03867293476323844,0.012920408634600642,0,9.723507713296151e-4,0.0010034923624040858,0
2021-02-04,0.0396451821431537,0.0139294480324609,0,9.722473799152614e-4,0.0010090393978602584,0
2021-02-05,0.040619939675676474,0.015933703770888596,0,9.747575325227756e-4,0.0020042557384276957,0
2021-02-06,0.04160168864619092,0.01694179614733633,0,9.817489705144442e-4,0.0010080923764477327,0
2021-02-07,0.04159581947999801,0.016938632954719705,0,0,0,0
2021-02-08,0.042578074051279106,0.017938452456786567,0,9.822545712810937e-4,9.998195020668628e-4,0
2021-02-09,0.04355369622583586,0.018950839745673107,0,9.756221745567534e-4,0.0010123872888865397,0
2021-02-10,0.04452668686695763,0.019957489164774828,0,9.729906411217668e-4,0.0010066494191017204,0
2021-02-11,0.04548846604413224,0.020951923887399596,0,9.617791771746112e-4,9.94434722624768e-4,0
2021-02-12,0.04645188496153786,0.02295164213338606,0,9.634189174056243e-4,0.001999718245986465,0
2021-02-13,0.04742428946535823,0.022953765597127602,0,9.724045038203705e-4,2.1234637415414037e-6,0
2021-02-14,0.047410984964767984,0.022941739785001893,0,0,0,0
2021-02-15,0.04838326772171205,0.023937576679962828,0,9.722827569440678e-4,9.958368949609352e-4,0
