"start_date","end_date","loc","exposure_mean","stdev"
2020-05-01,2020-07-10,"OK",0.0312636986472734,0.00241951103791115
2020-05-02,2020-07-11,"OK",0.0318523812785082,0.00250127475902606
2020-05-03,2020-07-12,"OK",0.032438558634875,0.00255890107664112
2020-05-04,2020-07-13,"OK",0.033083272280742,0.0026293299545975
2020-05-05,2020-07-14,"OK",0.0340313736441333,0.00269576050200798
2020-05-06,2020-07-15,"OK",0.0352756316384426,0.00273615369415031
2020-05-07,2020-07-16,"OK",0.0369448034114983,0.00288941361902376
2020-05-08,2020-07-17,"OK",0.0385219170421012,0.00296810266964407
2020-05-09,2020-07-18,"OK",0.0402697310897654,0.00306381365549006
2020-05-10,2020-07-19,"OK",0.0419003392999342,0.00319803562123564
2020-05-11,2020-07-20,"OK",0.043689360750938,0.00331260652029715
2020-05-12,2020-07-21,"OK",0.0452685614577413,0.00344066339831387
2020-05-13,2020-07-22,"OK",0.0463051099692163,0.00352660270562347
2020-05-14,2020-07-23,"OK",0.0471304491491093,0.00365485462422733
2020-05-15,2020-07-24,"OK",0.0479812955161915,0.00376917272117486
2020-05-16,2020-07-25,"OK",0.0485359574533147,0.00387403767225784
2020-05-17,2020-07-26,"OK",0.0490630564388771,0.00392690305951203
2020-05-18,2020-07-27,"OK",0.0494964337368154,0.00399239429485888
2020-05-19,2020-07-28,"OK",0.0499272707583654,0.00400688541328833
2020-05-20,2020-07-29,"OK",0.0503083131263787,0.00407352327541635
2020-05-21,2020-07-30,"OK",0.0506727965405863,0.00412384777290386
2020-05-22,2020-07-31,"OK",0.0510017101212013,0.00417874178373026
2020-05-23,2020-08-01,"OK",0.0512347935832737,0.00423224197784791
2020-05-24,2020-08-02,"OK",0.0515355897478147,0.00425725919389955
2020-05-25,2020-08-03,"OK",0.0518150517908774,0.00425903483875436
2020-05-26,2020-08-04,"OK",0.0521037832220655,0.00425847833483407
2020-05-27,2020-08-05,"OK",0.0524451374296147,0.00427053351032733
2020-05-28,2020-08-06,"OK",0.0527814247817333,0.00426571065532714
2020-05-29,2020-08-07,"OK",0.0531524718022952,0.00425444040734303
2020-05-30,2020-08-08,"OK",0.0535823371462667,0.00427779944869834
2020-05-31,2020-08-09,"OK",0.0540935413223903,0.00423005245275136
2020-06-01,2020-08-10,"OK",0.054585504417394,0.00423011848757982
2020-06-02,2020-08-11,"OK",0.0550826148334168,0.00426480077019209
2020-06-03,2020-08-12,"OK",0.0555522676057014,0.00425208762398356
2020-06-04,2020-08-13,"OK",0.0560475573361543,0.00426306700086056
2020-06-05,2020-08-14,"OK",0.0565121844461332,0.00429423117573707
2020-06-06,2020-08-15,"OK",0.0567561932599455,0.0042731118641589
2020-06-07,2020-08-16,"OK",0.0569656937591911,0.00425772141818046
2020-06-08,2020-08-17,"OK",0.0570604184362231,0.00425845065402811
2020-06-09,2020-08-18,"OK",0.0571985119931382,0.00423922972656815
2020-06-10,2020-08-19,"OK",0.0572512196323905,0.00419596577009924
2020-06-11,2020-08-20,"OK",0.0573864015429984,0.00417110673949981
2020-06-12,2020-08-21,"OK",0.0574234556937617,0.00415460520191931
2020-06-13,2020-08-22,"OK",0.0575427957900121,0.00412507761247548
2020-06-14,2020-08-23,"OK",0.0578485516573157,0.00416101246434994
2020-06-15,2020-08-24,"OK",0.0583577397964251,0.00413691578575462
2020-06-16,2020-08-25,"OK",0.0588270667892183,0.00409840573392284
2020-06-17,2020-08-26,"OK",0.0594836100138212,0.00416381404649002
2020-06-18,2020-08-27,"OK",0.0598825539535165,0.00412821956208975
2020-06-19,2020-08-28,"OK",0.0604135875901037,0.00414015008181585
2020-06-20,2020-08-29,"OK",0.0607976677867996,0.00416109711393814
2020-06-21,2020-08-30,"OK",0.0611978530547734,0.00419151966174901
2020-06-22,2020-08-31,"OK",0.0612258447433656,0.00421345139843754
2020-06-23,2020-09-01,"OK",0.0616029166754066,0.00426508092557386
2020-06-24,2020-09-02,"OK",0.0619128481608786,0.00430404564734026
2020-06-25,2020-09-03,"OK",0.0621496816883419,0.00432640065681471
2020-06-26,2020-09-04,"OK",0.062323872022312,0.00438614772676359
2020-06-27,2020-09-05,"OK",0.0624872516124076,0.00444631002385006
2020-06-28,2020-09-06,"OK",0.0626534694087978,0.00447336549033942
2020-06-29,2020-09-07,"OK",0.0628537612987308,0.00452187871846669
2020-06-30,2020-09-08,"OK",0.0629535699402396,0.00455194532745935
2020-07-01,2020-09-09,"OK",0.0631546082597017,0.00457786242444351
2020-07-02,2020-09-10,"OK",0.0633283483250193,0.00456857915797695
2020-07-03,2020-09-11,"OK",0.0634744422185555,0.00456131608637341
2020-07-04,2020-09-12,"OK",0.0636308832690459,0.00456463337558238
2020-07-05,2020-09-13,"OK",0.0638446904715753,0.00457482312905362
2020-07-06,2020-09-14,"OK",0.0639023374697464,0.00457388949642778
2020-07-07,2020-09-15,"OK",0.064205081841641,0.0045671296418186
2020-07-08,2020-09-16,"OK",0.0648346747044646,0.00455379138703708
2020-07-09,2020-09-17,"OK",0.0655272566061263,0.00455765519614269
2020-07-10,2020-09-18,"OK",0.0661470733043027,0.00458124353865634
2020-07-11,2020-09-19,"OK",0.0665643701204785,0.00459230412464759
2020-07-12,2020-09-20,"OK",0.0669731847162893,0.00463255979670211
2020-07-13,2020-09-21,"OK",0.0673088067868074,0.00463609242390639
2020-07-14,2020-09-22,"OK",0.0671915579618855,0.00466112412019523
2020-07-15,2020-09-23,"OK",0.0667790728312136,0.00466066004602813
2020-07-16,2020-09-24,"OK",0.0661560085479525,0.00454729033555333
2020-07-17,2020-09-25,"OK",0.0656081773154264,0.00452525430314818
2020-07-18,2020-09-26,"OK",0.0648573254390795,0.00445987916124169
2020-07-19,2020-09-27,"OK",0.064339857684072,0.00439471278153818
2020-07-20,2020-09-28,"OK",0.0636894950203072,0.0043275286380729
2020-07-21,2020-09-29,"OK",0.0633790925685329,0.00426919941882989
2020-07-22,2020-09-30,"OK",0.0635974260867719,0.00424508969835715
2020-07-23,2020-10-01,"OK",0.0639724384889351,0.00421313484146069
2020-07-24,2020-10-02,"OK",0.0643377332813407,0.00416600453382255
2020-07-25,2020-10-03,"OK",0.0650611310772811,0.00414779357289744
2020-07-26,2020-10-04,"OK",0.0657395131275918,0.00416921182806576
2020-07-27,2020-10-05,"OK",0.0664793963615098,0.0042003378835244
2020-07-28,2020-10-06,"OK",0.067122762436217,0.00425278002473447
2020-07-29,2020-10-07,"OK",0.0678114196692369,0.00424891376929549
2020-07-30,2020-10-08,"OK",0.0685166360076938,0.00426339309526579
2020-07-31,2020-10-09,"OK",0.0693693426613437,0.00426953249177014
2020-08-01,2020-10-10,"OK",0.0703146425384467,0.00431036794944486
2020-08-02,2020-10-11,"OK",0.0712117283902258,0.00432697982216537
2020-08-03,2020-10-12,"OK",0.0722921208166549,0.00442505854857186
2020-08-04,2020-10-13,"OK",0.0734370531398891,0.00453397837852473
2020-08-05,2020-10-14,"OK",0.0745582012352377,0.00458510870855898
2020-08-06,2020-10-15,"OK",0.075513701869435,0.00467841335183154
2020-08-07,2020-10-16,"OK",0.0763274389931086,0.00478020901162671
2020-08-08,2020-10-17,"OK",0.076902974017247,0.00485339420606986
2020-08-09,2020-10-18,"OK",0.0773518661622741,0.00496623057983269
2020-08-10,2020-10-19,"OK",0.07752006610612,0.00503251046929275
2020-08-11,2020-10-20,"OK",0.0777698312421294,0.00503750120439064
2020-08-12,2020-10-21,"OK",0.0779887977950811,0.00504392071646799
2020-08-13,2020-10-22,"OK",0.0783448627245436,0.00509182774455876
2020-08-14,2020-10-23,"OK",0.0787227430274318,0.00517813739373784
2020-08-15,2020-10-24,"OK",0.0792852987297607,0.00522807026245774
2020-08-16,2020-10-25,"OK",0.0800589190064825,0.00527569253025273
2020-08-17,2020-10-26,"OK",0.0806717190750197,0.00532191198947468
2020-08-18,2020-10-27,"OK",0.08186776569755,0.00537261098240924
2020-08-19,2020-10-28,"OK",0.0833348988910962,0.00543166098902321
2020-08-20,2020-10-29,"OK",0.0849851620342934,0.00548352532600508
2020-08-21,2020-10-30,"OK",0.0868335165205911,0.00558127334447992
2020-08-22,2020-10-31,"OK",0.0885954635502762,0.0057015683403166
2020-08-23,2020-11-01,"OK",0.0905848784840728,0.00579311030239282
2020-08-24,2020-11-02,"OK",0.092893648525602,0.00590487039334766
2020-08-25,2020-11-03,"OK",0.0952012313206238,0.0060448252647033
2020-08-26,2020-11-04,"OK",0.0976327630402144,0.00620350864297723
2020-08-27,2020-11-05,"OK",0.0998559357650081,0.00632263081129108
2020-08-28,2020-11-06,"OK",0.102334623554229,0.00652125893045299
2020-08-29,2020-11-07,"OK",0.104928978958906,0.0067629039013869
2020-08-30,2020-11-08,"OK",0.107522672948576,0.00695432941578323
2020-08-31,2020-11-09,"OK",0.110264861860246,0.00713779633614731
2020-09-01,2020-11-10,"OK",0.112831972764016,0.00731300060864048
2020-09-02,2020-11-11,"OK",0.115387407590301,0.00751290851603033
2020-09-03,2020-11-12,"OK",0.118108658188296,0.00767219207465666
2020-09-04,2020-11-13,"OK",0.120847268049222,0.00780286531865987
2020-09-05,2020-11-14,"OK",0.122862377813737,0.00795489944569615
2020-09-06,2020-11-15,"OK",0.124703452464019,0.00812286723311471
2020-09-07,2020-11-16,"OK",0.126951434089358,0.00824920638734527
2020-09-08,2020-11-17,"OK",0.128911574509897,0.00832572211855011
2020-09-09,2020-11-18,"OK",0.130349093814435,0.00842399959109586
2020-09-10,2020-11-19,"OK",0.131586173868851,0.00854056711052684
2020-09-11,2020-11-20,"OK",0.132718633621525,0.00860420005414252
2020-09-12,2020-11-21,"OK",0.133991738301848,0.0086858194489113
2020-09-13,2020-11-22,"OK",0.135673623132441,0.00873247667814383
2020-09-14,2020-11-23,"OK",0.136957267768705,0.00873807823974245
2020-09-15,2020-11-24,"OK",0.138472992650186,0.00874555587905068
2020-09-16,2020-11-25,"OK",0.139945588987132,0.00873988667731193
2020-09-17,2020-11-26,"OK",0.141464731331112,0.00879083513742607
2020-09-18,2020-11-27,"OK",0.142975501362027,0.00878992387287803
2020-09-19,2020-11-28,"OK",0.14489513756861,0.00882711301690506
2020-09-20,2020-11-29,"OK",0.146610103308819,0.00888597634309724
2020-09-21,2020-11-30,"OK",0.148176575744427,0.00892952813037117
2020-09-22,2020-12-01,"OK",0.15002634760275,0.00903001900876912
2020-09-23,2020-12-02,"OK",0.151962012584879,0.00920126148284273
2020-09-24,2020-12-03,"OK",0.153703319256067,0.009343068157838
2020-09-25,2020-12-04,"OK",0.155555954921075,0.00946974800344559
2020-09-26,2020-12-05,"OK",0.157534897829678,0.00966256678326051
2020-09-27,2020-12-06,"OK",0.159328235688359,0.00981937559853509
2020-09-28,2020-12-07,"OK",0.161142543930699,0.00998139201064387
2020-09-29,2020-12-08,"OK",0.162979012153488,0.0101315685990043
2020-09-30,2020-12-09,"OK",0.164983588431656,0.0102781276016429
2020-10-01,2020-12-10,"OK",0.167184933829437,0.0103805379272256
2020-10-02,2020-12-11,"OK",0.169269326411541,0.0104876527757847
2020-10-03,2020-12-12,"OK",0.17137989290293,0.0106338392254086
2020-10-04,2020-12-13,"OK",0.172937165624919,0.0107880472605809
2020-10-05,2020-12-14,"OK",0.174452445519565,0.0109534524844343
2020-10-06,2020-12-15,"OK",0.17559792831436,0.0110670317805442
2020-10-07,2020-12-16,"OK",0.176596341823076,0.011145861378784
2020-10-08,2020-12-17,"OK",0.177428243522634,0.0111938822369381
