date,pop_age,pop_age_frac,cases,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2020-01-30,8101238.0701234825,352117.4792794837,6.931040200628557e-4,0.020191651699553437,0.01120166362224398,0.038484601470510055,5.734350859511538e-8,3.1812290730824415e-8,1.0929477726938952e-7
2020-01-31,8101238.0701234825,352117.4792794837,0.0011464129037150838,0.03861908336410268,0.021583935061417103,0.07261000817423423,1.0967670063731719e-7,6.129753940526604e-8,2.0620961027783002e-7
2020-02-01,8577157.492629264,356162.79437078285,8.541057957505607e-4,0.033526313950236315,0.01884668426818919,0.06249593010004563,9.413199379644856e-8,5.2915926553992805e-8,1.7547012514447063e-7
2020-02-02,10130015.32445678,387902.7384459024,0.0011903204659052611,0.05480496689362535,0.030948255515148255,0.10137724276981397,1.412853312487469e-7,7.978354481110309e-8,2.613470664733454e-7
2020-02-03,12717232.570377542,490097.81965977256,5.934018400633055e-4,0.032220296891063836,0.018255435000134185,0.05926311262634508,6.574258362020722e-8,3.7248553794438764e-8,1.2092098811515978e-7
2020-02-04,19219805.541177213,1007069.2293422804,6.830800938761917e-4,0.044247466664200444,0.024932432132343987,0.09267493109659279,4.393686687567505e-8,2.4757416278747215e-8,9.20243895815574e-8
2020-02-05,31652383.65228699,1868588.0184055173,4.302336403772784e-4,0.033252552859084517,0.018616778925222538,0.0765388178330632,1.779555072147964e-8,9.963019532314245e-9,4.096077737797679e-8
2020-02-06,35745691.46363639,1965988.8981613165,0.0014031021239498888,0.12793686115618758,0.07147950088798873,0.2931720987667261,6.507506795986489e-8,3.635803892628267e-8,1.4912195030242245e-7
2020-02-07,37642152.63786722,1981433.6661135175,0.001585383116420641,0.16844547023233658,0.0938460010274406,0.38417725301883465,8.501191491448407e-8,4.736267614323664e-8,1.9388852606526013e-7
2020-02-08,40975676.375599444,2020400.425825878,4.480764396836e-4,0.0546534818156774,0.030327304648385848,0.12493119896201474,2.705081681683804e-8,1.5010541603894668e-8,6.183487063508545e-8
2020-02-09,40975676.375599444,2020400.425825878,0.002304903659861976,0.3178146205775378,0.17563765202822784,0.7211092158125294,1.5730278835574136e-7,8.693210008428529e-8,3.569140090226233e-7
2020-02-10,40975676.375599444,2020400.425825878,0.0012359029506776077,0.19025454482502108,0.10463779385683256,0.4296280417653134,9.416675149791202e-8,5.179062156159456e-8,2.126449966420367e-7
2020-02-11,40975676.375599444,2020400.425825878,0.001088492190491694,0.18514219086344988,0.10126781113572142,0.41701427291235604,9.163638479623137e-8,5.012264392803532e-8,2.064017942096272e-7
2020-02-12,40975676.375599444,2020400.425825878,7.544615899273279e-4,0.14053315800591692,0.07639681155376507,0.3162883982803524,6.955708195739034e-8,3.781270810341291e-8,1.56547382507635e-7
2020-02-13,41752736.147934906,2034309.7957506827,0.001430250734944767,0.28935455262950494,0.15623183620346387,0.6518316017636819,1.4223721147777786e-7,7.679844855970554e-8,3.2041904488944805e-7
2020-02-14,41752736.147934906,2034309.7957506827,0.002292832931931882,0.4996111745015104,0.2677391920635913,1.127617780180591,2.455924734497719e-7,1.3161180889108024e-7,5.542999313752444e-7
2020-02-15,41752736.147934906,2034309.7957506827,0.0016674716300263306,0.38787246168260014,0.20613948414417774,0.878101180304745,1.906653856225821e-7,1.0133141204686084e-7,4.316457513693071e-7
2020-02-16,41752736.147934906,2034309.7957506827,0.003849001057408587,0.9465240059578237,0.4984287477899839,2.1517958996556583,4.652801691929847e-7,2.4501123124467787e-7,1.0577523168547798e-6
2020-02-17,41752736.147934906,2034309.7957506827,0.0031541883353508023,0.8113986437301639,0.422925167556698,1.854352848704226,3.9885697125631194e-7,2.0789614661450027e-7,9.115390647863195e-7
2020-02-18,41752736.147934906,2034309.7957506827,0.0030057951047545743,0.7997103862119301,0.4121261226473333,1.8392431155917786,3.9311140706414784e-7,2.0258769018769543e-7,9.041116153663693e-7
2020-02-19,41752736.147934906,2034309.7957506827,0.0015376238628676423,0.4180475789536649,0.21274451257037577,0.9685332503218989,2.0549848397077632e-7,1.0457822747290596e-7,4.76099192141234e-7
2020-02-20,41752736.147934906,2034309.7957506827,0.00456846653613937,1.2534585312571638,0.6290865862614439,2.9280009540303356,6.161591188694167e-7,3.0923834097220377e-7,1.4393092734186393e-6
2020-02-21,41752736.147934906,2034309.7957506827,0.008528087896820259,2.3312057745184815,1.1522734598658333,5.494507346975043,1.1459443293189476e-6,5.664198551630292e-7,2.700919672339045e-6
2020-02-22,41752736.147934906,2034309.7957506827,0.00585492844172205,1.5740386223169078,0.7652106297712704,3.7449630995568133,7.737457812987969e-7,3.761524578850584e-7,1.8409010797565768e-6
2020-02-23,41752736.147934906,2034309.7957506827,0.010943568304165888,2.8567353429004325,1.3642999089749617,6.861580166233042,1.4042774354563168e-6,6.706451061803593e-7,3.3729278503036668e-6
2020-02-24,41752736.147934906,2034309.7957506827,0.011160922346727787,2.7945731321276215,1.3099623226029384,6.773713493826074,1.3737205306512292e-6,6.439345301975248e-7,3.329735474889408e-6
