date,age_group.x,cases,age_class,age_group.y,clinical_fraction,cases_adj,pop,age_pct,incid_per100K,mean_incid_per100K,incid_OR
2020-07-21,20 - 29 Years,9751,20,a20-29,0.27,36114.81481481481,44501000,0.13379775645747582,81.15506351501047,39.6529413394288,2.046634140461962
2020-07-21,30 - 39 Years,7749,30,a30-39,0.33,23481.81818181818,45194000,0.13588134660657428,51.95782223706284,39.6529413394288,1.310314455422219
2020-07-21,40 - 49 Years,6907,40,a40-49,0.4,17267.5,41153000,0.1237315806722209,41.95927392899667,39.6529413394288,1.0581629637465146
2020-07-21,50 - 59 Years,6263,50,a50-59,0.49,12781.632653061224,43033000,0.12938403302475354,29.701932593733236,39.6529413394288,0.7490473995228999
2020-07-21,60 - 69 Years,4181,60,a60-69,0.63,6636.507936507936,39034000,0.1173605452812546,17.001864878075363,39.6529413394288,0.4287668027584527
2020-07-21,70 - 79 Years,2256,70,a70-79,0.69,3269.5652173913045,24136000,0.07256786701102529,13.546425328933147,39.6529413394288,0.3416247287427148
2020-07-21,80+ Years,1698,80,a80+,0.69,2460.8695652173915,12205000,0.0366958409375855,20.162798567942577,39.6529413394288,0.5084817894175672
2020-07-22,0 - 9 Years,2080,00,a00-09,0.29,7172.413793103448,39888000,0.11992820182862847,17.981382353347996,40.52582311681243,0.44370184170024396
2020-07-22,10 - 19 Years,4936,10,a10-19,0.21,23504.761904761905,43455000,0.1306528281804816,54.089890472355094,40.52582311681243,1.3347018348386244
2020-07-22,20 - 29 Years,9841,20,a20-29,0.27,36448.148148148146,44501000,0.13379775645747582,81.90411035290926,40.52582311681243,2.0210350846379415
2020-07-22,30 - 39 Years,8019,30,a30-39,0.33,24300,45194000,0.13588134660657428,53.76819931849361,40.52582311681243,1.3267639046716235
2020-07-22,40 - 49 Years,7169,40,a40-49,0.4,17922.5,41153000,0.1237315806722209,43.550895438971644,40.52582311681243,1.0746455491709492
2020-07-22,50 - 59 Years,6372,50,a50-59,0.49,13004.081632653062,43033000,0.12938403302475354,30.218859091053524,40.52582311681243,0.7456692243844151
2020-07-22,60 - 69 Years,4255,60,a60-69,0.63,6753.9682539682535,39034000,0.1173605452812546,17.30278284051917,40.52582311681243,0.42695697483170886
2020-07-22,70 - 79 Years,2336,70,a70-79,0.69,3385.507246376812,24136000,0.07256786701102529,14.026795021448509,40.52582311681243,0.34611992903925476
2020-07-22,80+ Years,1585,80,a80+,0.69,2297.1014492753625,12205000,0.0366958409375855,18.820986884681382,40.52582311681243,0.4644196079727091
2020-07-23,0 - 9 Years,1882,00,a00-09,0.29,6489.6551724137935,39888000,0.11992820182862847,16.269693071635064,37.8413432573548,0.4299449139790487
2020-07-23,10 - 19 Years,4608,10,a10-19,0.21,21942.857142857145,43455000,0.1306528281804816,50.49558656738499,37.8413432573548,1.3344025930572834
2020-07-23,20 - 29 Years,8986,20,a20-29,0.27,33281.48148148148,44501000,0.13379775645747582,74.78816539287091,37.8413432573548,1.976361274604996
2020-07-23,30 - 39 Years,7444,30,a30-39,0.33,22557.575757575756,45194000,0.13588134660657428,49.91276664507624,37.8413432573548,1.3190009219711103
2020-07-23,40 - 49 Years,6651,40,a40-49,0.4,16627.5,41153000,0.1237315806722209,40.40410176657838,37.8413432573548,1.0677237721661872
2020-07-23,50 - 59 Years,6242,50,a50-59,0.49,12738.775510204081,43033000,0.12938403302475354,29.602341250212817,37.8413432573548,0.7822751176904731
2020-07-23,60 - 69 Years,4108,60,a60-69,0.63,6520.6349206349205,39034000,0.1173605452812546,16.705013374583494,37.8413432573548,0.4414487419480472
