date,pop_age,pop_age_frac,cases.x,infections.x,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct,cases.y,cases.lo,cases.hi,infections.y,infections.lo,infections.hi,rep_frac,rep_frac_lo,rep_frac_hi,forecast,rec_inf_pct
2021-10-12,41752736.147934906,2034309.7957506827,573.1962052699886,3814.3926621819005,2456.5000134219113,6269.143831264418,0.0018750303764694539,0.0012075348693464045,0.0030817055712751137,79340.0483979254,0,0,434305.3870290112,279700.21103717305,713795.8652435704,0.169007679131522,0.26177599917288713,0.10299297128779693,FALSE,0.008782743148261024
2021-10-13,41752736.147934906,2034309.7957506827,561.1878283292777,3776.450813502647,2431.102606954993,6208.423180531848,0.0018563794075961253,0.0011950503369905316,0.003051857290123735,77916.36565702468,0,0,430262.2043143598,276986.53932781145,707337.574443585,0.16796994525005643,0.2602515449961158,0.10234116369392986,FALSE,0.00877709167952731
2021-10-14,41752736.147934906,2034309.7957506827,549.9944554392345,3739.9710193885157,2406.6445967826703,6150.129731495296,0.0018384471368130169,0.0011830275810546307,0.0030232021417494234,76565.0245056561,0,0,426523.5909538348,274468.5659289417,701382.9716679959,0.1670143569296699,0.25885689550800095,0.1017383958355481,FALSE,0.008768497449402078
2021-10-15,41752736.147934906,2034309.7957506827,539.6191359247339,3704.890743108501,2383.085026880646,6094.161086578386,0.0018212028231134557,0.0011714464688999159,0.0029956897908607737,75287.91820872118,0,0,423099.9899534032,272152.8104451286,695949.4902143007,0.16613844211880097,0.2575880784540141,0.10118320916173279,FALSE,0.008756537062353813
2021-10-16,41752736.147934906,2034309.7957506827,530.0659892243788,3671.119518130538,2360.365008543376,6040.3689029646675,0.0018046019961162575,0.0011602780527694286,0.002969247316992693,74088.49139571088,0,0,419996.7981798147,270042.52590438206,691046.3098721105,0.16534287303412587,0.2564460069830018,0.10067605627621565,FALSE,0.008740827392114568
2021-10-17,41752736.147934906,2034309.7957506827,521.3289178380104,3638.543165453673,2338.410478270807,5988.56574619956,0.0017885885291679532,0.001149485925474742,0.0029437825835124157,72969.95200117325,0,0,417215.01457725617,268138.12296951143,686675.4108058359,0.16462861727239048,0.25543206908610894,0.1002175643187953,FALSE,0.008721026421209775
2021-10-18,41752736.147934906,2034309.7957506827,513.3914751281567,3607.0279626478973,2317.1349138542414,5938.531880458322,0.0017730966887060898,0.0011390275555347227,0.00291918757549262,71934.94234864808,0,0,414751.87480599177,266437.5836410335,682832.6076814609,0.16399629529156012,0.25454713817730196,0.09980814201021666,FALSE,0.00869683341235083
2021-10-19,41752736.147934906,2034309.7957506827,506.23421978803486,3576.4395142808253,2296.4514872004147,5890.046274690659,0.0017580604103423097,0.0011288602611054129,0.002895353641315563,70985.84521433503,0,0,412602.0665269736,264937.24702983233,679509.5411064824,0.16344684485710337,0.2537926051292853,0.09944838387388577,FALSE,0.008668011637423579
2021-10-20,41752736.147934906,2034309.7957506827,499.8270111175329,3546.668216501192,2276.28941987333,5842.928524864373,0.0017434258164167333,0.001118949249828173,0.00287219210027363,70123.53595908718,0,0,410759.12292182085,263632.7078820714,676695.9654231016,0.16297860991725235,0.2531658618836221,0.0991372980775815,FALSE,0.008634423482241742
2021-10-21,41752736.147934906,2034309.7957506827,494.13697059787467,3517.6317731491185,2256.5955671650217,5797.043048944661,0.0017291524528352741,0.0011092683975069358,0.0028496363046836178,69348.90385622895,0,0,409215.84927551995,262519.0922139942,674380.4475881273,0.1625910156602217,0.25266610630443914,0.0988745188542383,FALSE,0.008596030137583309
2021-10-22,41752736.147934906,2034309.7957506827,488.27281906701137,3489.275769053836,2237.334748767157,5752.300095063918,0.0017152135708840034,0.0010998004106555245,0.00282764213546996,68621.50267745093,0,0,407964.7046871311,261591.303344908,672550.9935609362,0.1621874363197417,0.2521432814352156,0.0986012686873592,FALSE,0.008552886386899005
