date,pop_age,pop_age_frac,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2020-11-16,44084236.445759006,2061013.2595846215,4276.7661609460365,2719.0805863587966,7106.876191749148,0.002075079401385307,0.0013192931067832153,0.003448243798868851
2020-11-17,44084236.445759006,2061013.2595846215,4591.632732251252,2918.722244493951,7630.600179943141,0.002227852106675264,0.001416158887343691,0.0037023537546192298
2020-11-18,44084236.445759006,2061013.2595846215,4514.395812170834,2869.1374605201913,7502.257747443841,0.002190376889220339,0.0013921004375772137,0.003640082232637287
2020-11-19,44084236.445759006,2061013.2595846215,4583.473167219948,2912.1999910939085,7616.5701023256,0.0022238931001073254,0.0014129943014926725,0.0036955463856941173
2020-11-20,44084236.445759006,2061013.2595846215,4613.168700658632,2930.8196713594393,7666.251419093077,0.0022383013205787786,0.0014220285375311555,0.0037196516730019194
2020-11-21,44084236.445759006,2061013.2595846215,4730.941544573654,3004.6827034641105,7862.736015931162,0.0022954444968137336,0.0014578667504883869,0.003814985652986932
2020-11-22,44084236.445759006,2061013.2595846215,4870.357250579743,3092.5558290566873,8094.234801228554,0.0023630887515790748,0.0015005026361062635,0.003927308455482656
2020-11-23,44084236.445759006,2061013.2595846215,4921.027142612739,3124.459995773491,8178.673648380421,0.0023876736938628564,0.001515982481550457,0.003968278035255706
2020-11-24,44084236.445759006,2061013.2595846215,5073.982964630427,3221.4211738466206,8433.234474176863,0.0024618875890459056,0.0015630278742097316,0.00409179049914337
2020-11-25,44084236.445759006,2061013.2595846215,5149.44060679198,3269.3787187299217,8557.842778221237,0.0024984995039914505,0.001586296790438328,0.004152250228582222
2020-11-26,44084236.445759006,2061013.2595846215,5191.630529940371,3295.5176038567556,8627.760527686565,0.0025189699803225413,0.0015989793314192151,0.0041861741973583475
2020-11-27,44084236.445759006,2061013.2595846215,5300.444656025697,3364.062545440751,8808.24407522125,0.002571766402460678,0.001632237216231567,0.004273744496431076
2020-11-28,44084236.445759006,2061013.2595846215,5545.325891442395,3519.8693483255906,9214.678525192803,0.0026905823461611327,0.0017078344023051012,0.004470945775016478
2020-11-29,44084236.445759006,2061013.2595846215,5821.308022395684,3694.9098018573695,9672.76188400356,0.0028244883895453036,0.0017927637217637527,0.004693207013114033
2020-11-30,44084236.445759006,2061013.2595846215,5906.091889424809,3748.860945518608,9811.801387143883,0.002865625372354532,0.001818940721552736,0.0047606687349121485
2020-12-01,44084236.445759006,2061013.2595846215,6087.319559006864,3864.3721836272193,10111.424015809793,0.0029535567181327637,0.0018749865706376137,0.004906045106108467
2020-12-02,44084236.445759006,2061013.2595846215,6265.045209527299,3977.4712803660373,10404.316413659635,0.0030397888904363296,0.001929862052982454,0.0050481559811781755
