date,cases.fitted,cum.incidence,infections,infections.lo,infections.hi,pop,pct_inf,pct_inf_lo,pct_inf_hi
2021-04-13,72.9340022712635,135283.33751025837,291.04551228206924,NA,NA,415759,7.000341839432682e-4,NA,NA
2021-04-14,72.79958514272724,135577.79665730926,294.4591470508979,NA,NA,415759,0.00070824479338005405,NA,NA
2021-04-15,72.62675138145997,135874.9868726922,297.19021538294584,NA,NA,415759,7.148136670112874e-4,NA,NA
2021-04-16,72.40965739534933,136174.16803624696,299.18116355473984,NA,NA,415759,7.196023743436458e-4,NA,NA
2021-04-17,72.14663090179276,136474.5510148982,300.3829786512455,NA,NA,415759,7.22493027574257e-4,NA,NA
2021-04-18,71.84246559107649,136775.3072996351,300.7562847369008,NA,NA,415759,7.233909181446482e-4,NA,NA
2021-04-19,71.51956217972648,137075.57963229137,300.27233265626467,NA,NA,415759,7.222268974484368e-4,NA,NA
2021-04-20,71.19439836547889,137374.49342362554,298.9137913341721,NA,NA,415759,7.189592800977781e-4,NA,NA
2021-04-21,70.86924774341682,137671.16870037082,296.67527674528947,NA,NA,415759,7.135751162218724e-4,NA,NA
2021-04-22,70.52637271506522,137964.73244418114,293.56374381031975,NA,NA,415759,7.060911340712281e-4,NA,NA
2021-04-23,70.13921163164174,138254.33169104633,289.59924686519605,NA,NA,415759,6.965555691282596e-4,NA,NA
2021-04-24,69.69160182799264,138539.14646080672,284.81476976038675,NA,NA,415759,6.850477554554122e-4,NA,NA
2021-04-25,69.18094429105287,138818.40186956446,279.25540875774254,NA,NA,415759,6.716761603663241e-4,NA,NA
2021-04-26,68.59193405013619,139091.37910701145,272.9772374469773,NA,NA,415759,6.565756542780248e-4,NA,NA
2021-04-27,67.9097086332635,139357.42506089728,266.0459538858167,NA,NA,415759,6.399042567588836e-4,NA,NA
2021-04-28,67.12948849001218,139615.96071727676,258.5356563794907,NA,NA,415759,6.218401919849978e-4,NA,NA
2021-04-29,66.23688199827225,139866.48788713143,250.52716985468246,NA,NA,415759,6.025778632685821e-4,NA,NA
2021-04-30,65.22313648315506,140108.5939496602,242.10606252876372,NA,NA,415759,5.823230826723263e-4,NA,NA
2021-05-01,64.09086589145609,140341.95458397953,233.36063431933053,NA,NA,415759,5.612882326524033e-4,NA,NA
2021-05-02,62.84426877803521,140566.3344876172,224.37990363765127,NA,NA,415759,5.396874238144003e-4,NA,NA
2021-05-03,61.48882786038528,140781.5857692386,215.25128162141226,NA,NA,415759,5.177309008858792e-4,NA,NA
2021-05-04,60.027417158101414,140987.64450106732,206.05873182871684,NA,NA,415759,4.956206163395545e-4,NA,NA
2021-05-05,58.456446280211125,141184.52598443517,196.88148336784124,NA,NA,415759,4.73547135162056e-4,NA,NA
2021-05-06,56.77929970140427,141372.3189768655,187.79299243034296,NA,NA,415759,4.516871370922649e-4,NA,NA
2021-05-07,54.99136928574613,141551.179088518,178.86011165250065,NA,NA,415759,4.302014187365773e-4,NA,NA
2021-05-08,53.09650247342618,141721.32098153094,170.14189301294954,NA,NA,415759,4.0923201425092313e-4,NA,NA
2021-05-09,51.11289885929361,141883.0099715997,161.68899006875824,NA,NA,415759,3.889007575753219e-4,NA,NA
2021-05-10,49.06311618168644,142036.55385534925,153.54388374955272,NA,NA,415759,3.693098255228455e-4,NA,NA
2021-05-11,46.96926253238879,142182.2951451025,145.74128975323924,NA,NA,415759,3.505427176639333e-4,NA,NA
2021-05-12,44.846725938125516,142320.60379833245,138.30865322996794,NA,NA,415759,3.3266544615983765e-4,NA,NA
2021-05-13,42.707899803085716,142451.86962724922,131.2658289167695,NA,NA,415759,3.1572576640979385e-4,NA,NA
2021-05-14,40.568179525500824,142576.49476036325,124.625133114024,NA,NA,415759,2.9975330206688007e-4,NA,NA
2021-05-15,38.446614852184766,142694.88725824188,118.39249787863541,NA,NA,415759,2.8476232114911623e-4,NA,NA
2021-05-16,36.36481098802798,142807.45585766988,112.56859942797888,NA,NA,415759,2.7075445012129354e-4,NA,NA
2021-05-17,34.34287708514428,142914.60573258344,107.14987491355112,NA,NA,415759,2.5772111947919616e-4,NA,NA
2021-05-18,32.396293527630036,143016.73444599728,102.12871341385032,NA,NA,415759,2.456440231332342e-4,NA,NA
2021-05-19,30.5348022925334,143114.22799600568,97.49355000840981,NA,NA,415759,2.3449534467903234e-4,NA,NA
2021-05-20,28.765616020333532,143207.4578718211,93.22987581542358,NA,NA,415759,2.2424018677989793e-4,NA,NA
2021-05-21,27.094889695899287,143296.77900336368,89.32113154259444,NA,NA,415759,2.1483872037068215e-4,NA,NA
2021-05-22,25.528120826229348,143382.52843231312,85.749428949443,NA,NA,415759,2.062479199474768e-4,NA,NA
2021-05-23,24.069186897530354,143465.024534016,82.4961017028829,NA,NA,415759,1.9842288850724314e-4,NA,NA
2021-05-24,22.720414638883522,143544.56664921294,79.54211519694344,NA,NA,415759,1.9131784326242713e-4,NA,NA
2021-05-25,21.482159435722792,143621.43504048177,76.86839126884198,NA,NA,415759,1.8488689666090687e-4,NA,NA
2021-05-26,20.350285625591635,143695.89107650873,74.45603602698148,NA,NA,415759,1.7908460436690842e-4,NA,NA
2021-05-27,19.320733372021014,143768.1775624798,72.286485971081,NA,NA,415759,1.738663167149262e-4,NA,NA
