date,cases.fitted,cum.incidence,infections,infections.lo,infections.hi,pop,pct_inf,pct_inf_lo,pct_inf_hi
2020-06-26,93.74727048425066,18266.629593188416,432.26507619142257,NA,NA,415759,0.001039701067665216,NA,NA
2020-06-27,96.1392049847725,18711.066920542187,444.43732735377057,NA,NA,415759,0.0010689782478641968,NA,NA
2020-06-28,98.5406577779491,19167.345138053675,456.2782175114865,NA,NA,415759,0.0010974584254615932,NA,NA
2020-06-29,100.97136550537559,19635.07264748307,467.7275094293944,NA,NA,415759,0.0011249967154755385,NA,NA
2020-06-30,103.45295233133365,20113.793941534484,478.7212940514142,NA,NA,415759,0.001151439401315219,NA,NA
2020-07-01,106.00879791403369,20602.98659605187,489.19265451738505,NA,NA,415759,0.001176625531900416,NA,NA
2020-07-02,108.66329546123104,21102.059056148886,499.0724600970169,NA,NA,415759,0.0012003888312628636,NA,NA
2020-07-03,111.43722194806487,21610.348876929173,508.2898207802875,NA,NA,415759,0.0012225587919450632,NA,NA
2020-07-04,114.34152020516504,22127.121482655457,516.7726057262852,NA,NA,415759,0.0012429619219939561,NA,NA
2020-07-05,117.3746861938348,22651.56961436592,524.4481317104628,NA,NA,415759,0.0012614234008415039,NA,NA
2020-07-06,120.5237955258585,23182.81649644093,531.2468820750119,NA,NA,415759,0.0012777760242713011,NA,NA
2020-07-07,123.76673904321243,23719.9237222358,537.1072257948681,NA,NA,415759,0.0012918715549028838,NA,NA
2020-07-08,127.07423608041564,24261.900474616967,541.9767523811682,NA,NA,415759,0.0013035839329543514,NA,NA
2020-07-09,130.41129231452277,24807.713713252957,545.8132386359889,NA,NA,415759,0.0013128116015191226,NA,NA
2020-07-10,133.73822780532714,25356.29916451952,548.585451266565,NA,NA,415759,0.0013194794370454156,NA,NA
2020-07-11,137.01148580805636,25906.573677942524,550.2745134230015,NA,NA,415759,0.001323542036186833,NA,NA
2020-07-12,140.18438365346213,26457.449194643064,550.8755167005396,NA,NA,415759,0.0013249875930540038,NA,NA
2020-07-13,143.20789999964853,27007.84694307981,550.3977484367452,NA,NA,415759,0.001323838445918778,NA,NA
2020-07-14,146.0315420386652,27556.711459151324,548.8645160715135,NA,NA,415759,0.0013201506547579572,NA,NA
2020-07-15,148.60430110684584,28103.024138643843,546.3126794925207,NA,NA,415759,0.0013140128764320693,NA,NA
2020-07-16,150.875680670038,28645.81504881313,542.7909101692863,NA,NA,415759,0.0013055421774857221,NA,NA
2020-07-17,152.79676348311693,29184.171742622704,538.3566938095744,NA,NA,415759,0.0012948768248181625,NA,NA
2020-07-18,154.32127225184513,29717.246827211642,533.0750845889389,NA,NA,415759,0.0012821732893068796,NA,NA
2020-07-19,155.40657352513807,30244.264465561435,527.0176383497943,NA,NA,415759,0.0012676036798957913,NA,NA
2020-07-20,156.0145821760762,30764.52575919896,520.2612936375263,NA,NA,415759,0.0012513530522190168,NA,NA
2020-07-21,156.11253985019567,31277.413576420404,512.8878172214442,NA,NA,415759,0.0012336180749459283,NA,NA
2020-07-22,155.67365760617844,31782.39776567479,504.9841892543856,NA,NA,415759,0.001214607956182273,NA,NA
2020-07-23,154.67762735310126,32279.03934346043,496.64157778564123,NA,NA,415759,0.0011945419769280792,NA,NA
2020-07-24,153.1112383008453,32766.99341611604,487.9540726556132,NA,NA,415759,0.0011736464457909827,NA,NA
2020-07-25,150.9735691621685,33246.01090953425,479.01749341820823,NA,NA,415759,0.0011521518317539926,NA,NA
2020-07-26,148.2853052273424,33715.93963406084,469.92872452658554,NA,NA,415759,0.0011302911651379418,NA,NA
2020-07-27,145.09261630127668,34176.725835073164,460.7862010123285,NA,NA,415759,0.0011083012057762514,NA,NA
2020-07-28,141.46276581513365,34628.41509966167,451.68926458850615,NA,NA,415759,0.0010864208942885328,NA,NA
