date,pop_age,pop_age_frac,cases,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2021-02-16,44084236.445759006,2061013.2595846215,902.2501552273685,4487.39292983988,2906.915638203858,7275.100791938,0.002177275138319233,0.0014104303427866934,0.0035298660783018108
2021-02-17,44084236.445759006,2061013.2595846215,850.6632799020798,4266.73877149826,2761.3662597916127,6922.3709341319545,0.0020702141297034558,0.001339810040983502,0.0033587221731543326
2021-02-18,44084236.445759006,2061013.2595846215,846.3505273563846,4273.682381300693,2763.21701549406,6938.718551221688,0.0020735831569380658,0.0013407080243874614,0.0033666540081455486
2021-02-19,44084236.445759006,2061013.2595846215,819.8977714986879,4160.3227001521245,2687.331988942008,6759.665762381018,0.0020185812394970227,0.0013038887432891215,0.0032797779106687394
2021-02-20,44084236.445759006,2061013.2595846215,756.9932555574732,3852.4985678305916,2486.089550063889,6264.168095897982,0.0018692255131861828,0.0012062462667343234,0.0030393633164497295
2021-02-21,44084236.445759006,2061013.2595846215,749.6970519081559,3819.140271466698,2462.181191762472,6214.544867586753,0.0018530401266008405,0.0011946459734367269,0.0030152862135584893
2021-02-22,44084236.445759006,2061013.2595846215,756.3015037392696,3848.9820608737764,2479.0323321063843,6267.741835823299,0.0018675193102103108,0.001202822117023163,0.0030410972887610173
2021-02-23,44084236.445759006,2061013.2595846215,723.6528054160724,3672.0896551025385,2362.8432597428896,5984.078617909481,0.0017816914267900512,0.0011464473839528325,0.002903464395525295
2021-02-24,44084236.445759006,2061013.2595846215,727.8155077059457,3675.7322958342925,2362.9578855855166,5994.356341091517,0.0017834588296511506,0.0011465030002095907,0.0029084511286936723
2021-02-25,44084236.445759006,2061013.2595846215,765.8370640411647,3843.047209276994,2468.2275343159977,6271.67365212997,0.0018646397306786495,0.0011975796481840425,0.003043004999101252
2021-02-26,44084236.445759006,2061013.2595846215,733.506822508243,3651.920390093727,2343.348246152075,5963.90819956578,0.0017719053349660341,0.0011369884377281276,0.002893677744105223
2021-02-27,44084236.445759006,2061013.2595846215,635.9343112877967,3137.3163118780117,2011.3627414319385,5126.975164416912,0.0015222203434587845,9.759096561257982e-4,0.002487599310957469
2021-02-28,44084236.445759006,2061013.2595846215,640.3991316373576,3127.3532481635793,2003.2626836006261,5114.025896987812,0.0015173862825093463,9.719795223463849e-4,0.0024813163492303286
2021-03-01,44084236.445759006,2061013.2595846215,641.9101282693184,3100.4788497659306,1984.4159742293582,5073.248463483958,0.001504346871786164,9.628351321860487e-4,0.002461531210384559
2021-03-02,44084236.445759006,2061013.2595846215,638.8737839963609,3050.253663577225,1950.7372687240654,4994.033838997233,0.0014799776999940193,9.464942836501783e-4,0.002423096414238371
2021-03-03,44084236.445759006,2061013.2595846215,625.7220307969483,2951.886421897266,1886.4227398609535,4835.691932784074,0.0014322500877515904,9.152889876318141e-4,0.002346269200499304
2021-03-04,44084236.445759006,2061013.2595846215,613.944411658966,2861.32847736033,1827.2714475367425,4689.7963369099725,0.001388311532715226,8.865888848793784e-4,0.0022754809145939985
2021-03-05,44084236.445759006,2061013.2595846215,609.1922977893774,2804.8923161591115,1790.064326780595,4599.515918614684,0.0013609288067969111,8.685360554843622e-4,0.0022316770148008047
2021-03-06,44084236.445759006,2061013.2595846215,474.2477921664552,2157.5790257964677,1376.1286541957638,3539.592705396384,0.0010468535395212878,6.676951969115958e-4,0.001717404140383724
2021-03-07,44084236.445759006,2061013.2595846215,561.2036356963349,2523.589102542649,1608.7006717165211,4141.669993294338,0.0012244409834855966,7.805387297899967e-4,0.0020095309790142033
2021-03-08,44084236.445759006,2061013.2595846215,572.0656436192183,2543.6188329973374,1620.6847785644022,4175.97325010015,0.0012341593733899512,7.863533973047007e-4,0.002026174858740006
2021-03-09,44084236.445759006,2061013.2595846215,569.6977760462762,2505.853039419554,1595.943233633899,4115.180321241325,0.0012158354769268131,7.743488433235732e-4,0.0019966782368351682
2021-03-10,44084236.445759006,2061013.2595846215,575.6984795688438,2506.2915805087573,1595.6330039452605,4116.917849758803,0.00121604825629015,7.741983204255784e-4,0.001997521282608599
2021-03-11,44084236.445759006,2061013.2595846215,564.9393584240659,2435.5993106011883,1550.1361049395653,4001.6082832534107,0.0011817484915609233,7.521233052386966e-4,0.001941573284230058
2021-03-12,44084236.445759006,2061013.2595846215,541.1702569356493,2311.770505007463,1470.9333906339646,3798.7738665060915,0.0011216669733960757,7.136942878913928e-4,0.0018431583828197688
2021-03-13,44084236.445759006,2061013.2595846215,552.5968527836873,2340.1469447081154,1488.6621495046834,3845.871797191211,0.0011354351719113883,7.222962504398005e-4,0.001866010215754901
